index,nodeid,testname,iodepth,device,count,mean_mean,mean_min,stdev_mean,stdev_max,disk_type,disk_name,disk_model,units
8577,ms0235,randread,4096,/dev/sda2,95,98421.1947368,97965.5,63082.9391324,63349.1,SSD,/dev/sda,XR0120GEBLT,KB/s
8582,ms0235,write,1,/dev/sda2,95,1988.85305263,1943.45,14.6847932421,40.4099,SSD,/dev/sda,XR0120GEBLT,KB/s
8479,ms0222,write,4096,/dev/sda2,95,119653.968421,117905.0,2633.02264058,13931.1,SSD,/dev/sda,XR0120GEBLT,KB/s
8478,ms0222,write,1,/dev/sda2,95,1971.08568421,1968.62,11.1420127725,17.9966,SSD,/dev/sda,XR0120GEBLT,KB/s
8477,ms0222,read,4096,/dev/sda2,95,186970.431579,176396.0,2303.31687509,3684.3,SSD,/dev/sda,XR0120GEBLT,KB/s
8476,ms0222,read,1,/dev/sda2,95,75296.6294737,71027.1,2524.66383449,17016.0,SSD,/dev/sda,XR0120GEBLT,KB/s
8475,ms0222,randwrite,4096,/dev/sda2,95,1981.958,1976.72,56.9223898621,62.91,SSD,/dev/sda,XR0120GEBLT,KB/s
8474,ms0222,randwrite,1,/dev/sda2,95,1969.59968421,1964.82,11.1857463126,19.7888,SSD,/dev/sda,XR0120GEBLT,KB/s
8473,ms0222,randread,4096,/dev/sda2,95,98699.6063158,98354.1,62998.6840864,63422.7,SSD,/dev/sda,XR0120GEBLT,KB/s
8579,ms0235,randwrite,4096,/dev/sda2,95,2001.10536842,1992.38,58.1445400278,64.1991,SSD,/dev/sda,XR0120GEBLT,KB/s
8580,ms0235,read,1,/dev/sda2,95,75136.2621053,70589.3,2488.86461181,16786.5,SSD,/dev/sda,XR0120GEBLT,KB/s
8581,ms0235,read,4096,/dev/sda2,95,192114.368421,183302.0,2157.10692755,3888.61,SSD,/dev/sda,XR0120GEBLT,KB/s
8583,ms0235,write,4096,/dev/sda2,95,120267.526316,116537.0,2204.71173322,3829.61,SSD,/dev/sda,XR0120GEBLT,KB/s
8576,ms0235,randread,1,/dev/sda2,95,74202.6694737,73529.2,36739.2025393,37114.1,SSD,/dev/sda,XR0120GEBLT,KB/s
8472,ms0222,randread,1,/dev/sda2,95,74367.94,73719.5,36655.9944865,37054.1,SSD,/dev/sda,XR0120GEBLT,KB/s
8578,ms0235,randwrite,1,/dev/sda2,95,1988.38031579,1980.59,14.3907611463,22.6815,SSD,/dev/sda,XR0120GEBLT,KB/s
8944,ms0336,randread,1,/dev/sda2,94,74291.8404255,73670.5,36684.9374287,37067.7,SSD,/dev/sda,XR0120GEBLT,KB/s
8945,ms0336,randread,4096,/dev/sda2,94,98544.9776596,98341.2,63042.0594792,63640.3,SSD,/dev/sda,XR0120GEBLT,KB/s
8946,ms0336,randwrite,1,/dev/sda2,94,1975.90414894,1970.6,18.6797963076,24.8637,SSD,/dev/sda,XR0120GEBLT,KB/s
8947,ms0336,randwrite,4096,/dev/sda2,94,1988.57914894,1983.06,59.6343505759,65.3143,SSD,/dev/sda,XR0120GEBLT,KB/s
8948,ms0336,read,1,/dev/sda2,94,75174.0755319,70685.1,3058.0662029,16915.1,SSD,/dev/sda,XR0120GEBLT,KB/s
8949,ms0336,read,4096,/dev/sda2,94,193169.638298,189366.0,2008.31388141,3915.79,SSD,/dev/sda,XR0120GEBLT,KB/s
8950,ms0336,write,1,/dev/sda2,94,1977.3606383,1973.59,18.4165077078,20.1612,SSD,/dev/sda,XR0120GEBLT,KB/s
8951,ms0336,write,4096,/dev/sda2,94,120243.840426,118326.0,3256.9234204,13381.4,SSD,/dev/sda,XR0120GEBLT,KB/s
8464,ms0221,randread,1,/dev/sda2,90,74542.6566667,73906.1,36644.3963415,36959.1,SSD,/dev/sda,XR0120GEBLT,KB/s
8465,ms0221,randread,4096,/dev/sda2,90,98906.0088889,91547.8,63074.1009888,65647.6,SSD,/dev/sda,XR0120GEBLT,KB/s
8466,ms0221,randwrite,1,/dev/sda2,90,1956.78155556,1947.0,10.8347632891,20.8939,SSD,/dev/sda,XR0120GEBLT,KB/s
8467,ms0221,randwrite,4096,/dev/sda2,90,1969.10344444,1961.81,56.8270166567,62.2701,SSD,/dev/sda,XR0120GEBLT,KB/s
8468,ms0221,read,1,/dev/sda2,90,75527.3977778,71278.8,1899.71186216,17076.1,SSD,/dev/sda,XR0120GEBLT,KB/s
